"Day","File","Km","AscentM","Albergue","Photo","Food","Church","Pass","Other","Points"
"01","camino-2027-day01.gpx","45.8","1911","7","2","0","1","0","0","890"
"02","camino-2027-day02.gpx","68.9","1006","14","3","1","3","1","0","1378"
"03","camino-2027-day03.gpx","61.3","972","12","2","0","5","0","0","1306"
"04","camino-2027-day04.gpx","58.7","868","11","0","0","2","0","0","1106"
"05","camino-2027-day05.gpx","90","979","17","1","1","4","0","0","1810"
"06","camino-2027-day06.gpx","82.3","546","11","1","0","5","1","0","1561"
"07","camino-2027-day07.gpx","54.7","279","12","1","0","3","0","0","1043"
"09","camino-2027-day09.gpx","68.9","703","11","3","0","3","0","0","1320"
"10","camino-2027-day10.gpx","74.3","972","15","2","1","1","1","0","1202"
"11","camino-2027-day11.gpx","62.3","1141","15","1","0","2","1","0","748"
"12","camino-2027-day12.gpx","76.3","1394","30","1","2","3","0","0","1388"
"13","camino-2027-day13.gpx","38.9","661","4","0","1","1","1","0","747"
