"File","TrackPoints","Waypoints","Elevations","KB"
"camino-day01-bike-alb.gpx","878","10","878","84"
"camino-day02-bike-alb.gpx","1378","36","1378","145"
"camino-day03-alb.gpx","1306","31","1306","135"
"camino-day04-alb.gpx","1106","28","1106","116"
"camino-day05-alb.gpx","1810","42","1810","187"
"camino-day06-alb.gpx","1561","33","1561","159"
"camino-day07-alb.gpx","1043","26","1043","108"
"camino-day09-alb.gpx","1320","39","1320","142"
"camino-day10-bike-alb.gpx","1202","47","1202","136"
"camino-day11-bike-alb.gpx","748","31","748","86"
"camino-day12-bike-alb.gpx","1388","101","1388","185"
"camino-day13-alb.gpx","747","38","747","89"
